predicted file,real file,number of residues,rmsd
245_pred.pdb,245_real.pdb,17,1.378
246_pred.pdb,246_real.pdb,10,4.101
247_pred.pdb,247_real.pdb,9,2.391
248_pred.pdb,248_real.pdb,11,1.105
249_pred.pdb,249_real.pdb,11,0.615
250_pred.pdb,250_real.pdb,8,1.373
251_pred.pdb,251_real.pdb,11,6.099
252_pred.pdb,252_real.pdb,12,1.378
253_pred.pdb,253_real.pdb,12,0.748
254_pred.pdb,254_real.pdb,10,4.05
255_pred.pdb,255_real.pdb,4,0.195
256_pred.pdb,256_real.pdb,4,0.254
257_pred.pdb,257_real.pdb,12,0.602
258_pred.pdb,258_real.pdb,10,6.107
259_pred.pdb,259_real.pdb,19,6.55
260_pred.pdb,260_real.pdb,10,0.761
261_pred.pdb,261_real.pdb,10,0.838
262_pred.pdb,262_real.pdb,17,7.187
263_pred.pdb,263_real.pdb,10,1.644
264_pred.pdb,264_real.pdb,11,0.792
265_pred.pdb,265_real.pdb,13,3.773
266_pred.pdb,266_real.pdb,7,3.259
267_pred.pdb,267_real.pdb,9,1.04
268_pred.pdb,268_real.pdb,15,5.335
269_pred.pdb,269_real.pdb,14,5.879
270_pred.pdb,270_real.pdb,12,0.793
271_pred.pdb,271_real.pdb,21,6.859
272_pred.pdb,272_real.pdb,15,3.339
273_pred.pdb,273_real.pdb,12,3.766
274_pred.pdb,274_real.pdb,10,1.334
275_pred.pdb,275_real.pdb,10,3.224
276_pred.pdb,276_real.pdb,12,0.925
277_pred.pdb,277_real.pdb,10,1.394
278_pred.pdb,278_real.pdb,15,2.976
279_pred.pdb,279_real.pdb,12,1.176
predicted file,real file,number of residues,rmsd
036_pred.pdb,036_real.pdb,5,1.833
060_pred.pdb,060_real.pdb,4,1.67
079_pred.pdb,079_real.pdb,5,1.85
105_pred.pdb,105_real.pdb,4,1.275
113_pred.pdb,113_real.pdb,5,1.984
predicted file,real file,number of residues,rmsd
000_pred.pdb,000_real.pdb,9,3.59
001_pred.pdb,001_real.pdb,15,8.126
002_pred.pdb,002_real.pdb,12,5.551
003_pred.pdb,003_real.pdb,9,3.503
004_pred.pdb,004_real.pdb,16,8.386
005_pred.pdb,005_real.pdb,12,4.879
006_pred.pdb,006_real.pdb,13,5.933
007_pred.pdb,007_real.pdb,14,7.341
008_pred.pdb,008_real.pdb,10,3.298
009_pred.pdb,009_real.pdb,7,2.266
010_pred.pdb,010_real.pdb,12,5.392
011_pred.pdb,011_real.pdb,11,4.509
012_pred.pdb,012_real.pdb,9,3.246
013_pred.pdb,013_real.pdb,7,2.53
014_pred.pdb,014_real.pdb,16,7.635
015_pred.pdb,015_real.pdb,15,5.449
016_pred.pdb,016_real.pdb,8,2.183
017_pred.pdb,017_real.pdb,8,3.24
018_pred.pdb,018_real.pdb,11,5.095
019_pred.pdb,019_real.pdb,10,3.271
020_pred.pdb,020_real.pdb,24,8.496
021_pred.pdb,021_real.pdb,9,2.808
022_pred.pdb,022_real.pdb,13,5.705
023_pred.pdb,023_real.pdb,11,4.911
024_pred.pdb,024_real.pdb,10,3.806
025_pred.pdb,025_real.pdb,12,5.935
026_pred.pdb,026_real.pdb,13,5.695
027_pred.pdb,027_real.pdb,8,2.556
028_pred.pdb,028_real.pdb,8,2.491
029_pred.pdb,029_real.pdb,12,4.412
030_pred.pdb,030_real.pdb,8,2.881
031_pred.pdb,031_real.pdb,10,3.432
032_pred.pdb,032_real.pdb,16,8.522
033_pred.pdb,033_real.pdb,14,7.449
034_pred.pdb,034_real.pdb,16,7.465
035_pred.pdb,035_real.pdb,12,3.823
036_pred.pdb,036_real.pdb,5,1.833
037_pred.pdb,037_real.pdb,9,3.176
038_pred.pdb,038_real.pdb,13,5.737
039_pred.pdb,039_real.pdb,10,4.728
040_pred.pdb,040_real.pdb,9,3.881
041_pred.pdb,041_real.pdb,10,4.663
042_pred.pdb,042_real.pdb,14,6.58
043_pred.pdb,043_real.pdb,9,3.353
044_pred.pdb,044_real.pdb,12,4.486
045_pred.pdb,045_real.pdb,19,8.435
046_pred.pdb,046_real.pdb,11,4.207
047_pred.pdb,047_real.pdb,7,1.888
048_pred.pdb,048_real.pdb,12,4.4
049_pred.pdb,049_real.pdb,8,2.981
050_pred.pdb,050_real.pdb,13,3.261
051_pred.pdb,051_real.pdb,11,4.88
052_pred.pdb,052_real.pdb,12,6.422
053_pred.pdb,053_real.pdb,10,2.834
054_pred.pdb,054_real.pdb,19,8.359
055_pred.pdb,055_real.pdb,11,4.596
056_pred.pdb,056_real.pdb,10,5.589
057_pred.pdb,057_real.pdb,8,3.301
058_pred.pdb,058_real.pdb,11,4.291
059_pred.pdb,059_real.pdb,13,5.798
060_pred.pdb,060_real.pdb,4,1.67
061_pred.pdb,061_real.pdb,14,7.298
062_pred.pdb,062_real.pdb,12,5.971
063_pred.pdb,063_real.pdb,12,5.207
064_pred.pdb,064_real.pdb,12,6.095
065_pred.pdb,065_real.pdb,6,2.442
066_pred.pdb,066_real.pdb,12,4.968
067_pred.pdb,067_real.pdb,20,7.318
068_pred.pdb,068_real.pdb,12,5.622
069_pred.pdb,069_real.pdb,13,6.438
070_pred.pdb,070_real.pdb,10,3.655
071_pred.pdb,071_real.pdb,11,4.83
072_pred.pdb,072_real.pdb,16,8.654
073_pred.pdb,073_real.pdb,8,2.372
074_pred.pdb,074_real.pdb,10,4.053
075_pred.pdb,075_real.pdb,10,3.852
076_pred.pdb,076_real.pdb,6,2.283
077_pred.pdb,077_real.pdb,14,7.073
078_pred.pdb,078_real.pdb,10,3.573
079_pred.pdb,079_real.pdb,5,1.85
080_pred.pdb,080_real.pdb,22,8.361
081_pred.pdb,081_real.pdb,15,6.378
082_pred.pdb,082_real.pdb,11,5.035
083_pred.pdb,083_real.pdb,16,7.645
084_pred.pdb,084_real.pdb,11,4.844
085_pred.pdb,085_real.pdb,8,2.551
086_pred.pdb,086_real.pdb,11,5.558
087_pred.pdb,087_real.pdb,16,5.543
088_pred.pdb,088_real.pdb,9,3.638
089_pred.pdb,089_real.pdb,12,6.455
090_pred.pdb,090_real.pdb,9,3.391
091_pred.pdb,091_real.pdb,10,5.289
092_pred.pdb,092_real.pdb,8,2.892
093_pred.pdb,093_real.pdb,14,7.026
094_pred.pdb,094_real.pdb,24,8.293
095_pred.pdb,095_real.pdb,12,4.533
096_pred.pdb,096_real.pdb,7,2.504
097_pred.pdb,097_real.pdb,8,2.731
098_pred.pdb,098_real.pdb,22,10.172
099_pred.pdb,099_real.pdb,7,2.367
100_pred.pdb,100_real.pdb,7,2.423
101_pred.pdb,101_real.pdb,8,2.415
102_pred.pdb,102_real.pdb,12,6.16
103_pred.pdb,103_real.pdb,11,6.038
104_pred.pdb,104_real.pdb,9,3.446
105_pred.pdb,105_real.pdb,4,1.275
106_pred.pdb,106_real.pdb,14,6.558
107_pred.pdb,107_real.pdb,10,4.343
108_pred.pdb,108_real.pdb,13,5.445
109_pred.pdb,109_real.pdb,13,5.722
110_pred.pdb,110_real.pdb,10,3.197
111_pred.pdb,111_real.pdb,15,6.993
112_pred.pdb,112_real.pdb,11,5.055
113_pred.pdb,113_real.pdb,5,1.984
114_pred.pdb,114_real.pdb,10,3.581
115_pred.pdb,115_real.pdb,12,5.673
